"Time","Forecast","Lower_80","Upper_80","Lower_95","Upper_95"
2018,12.057777322919,8.81171970885634,15.3038349369817,7.09336060621732,17.0221940396207
2019,12.5196946207817,8.77901227169087,16.2603769698725,6.79881465080009,18.2405745907632
2020,12.5370520363742,8.27437470676615,16.7997293659823,6.01784963487207,19.0562544378764
2021,12.1954720313767,7.03430666478999,17.3566373979634,4.30215075681161,20.0887933059417
2022,12.4133324142584,6.80516711112226,18.0214977173946,3.8363837303223,20.9902810981946
2023,12.5104148547361,6.53650317127889,18.4843265381933,3.37410535210324,21.6467243573689
2024,12.2893867971237,5.74963818826108,18.8291354059864,2.28770439437953,22.291069199868
2025,12.3690482717918,5.41932508559514,19.3187714579885,1.74036386011147,22.9977326834722
2026,12.4731969356528,5.2044833763751,19.7419104949306,1.35665884764524,23.5897350236604
2027,12.3461007284619,4.65941104167268,20.0327904152512,0.590323316540013,24.1018781403838
